id,source_file,work_order,customer_name,entry_date,operator,part_name,start_time,finish_time,process_time,total_time,material,material_size,total_parts,yield_status,scrap_count,defects_count,notes,department,created_at,updated_at
21530,STEELTECH 18938.xlsx,,STEELTECH,2024-04-22,"F,H",ASSEMBLY,10:50:00,11:15:00,,,HDPE BLK,SCRAP,,,,,,,2025-12-23 18:52:36,2025-12-23 18:52:36
21531,STEELTECH 18938.xlsx,,STEELTECH,2024-04-22,"F,H",46,11:20:00,11:27:00,,,HDPE BLK,SCRAP,,,,,,,2025-12-23 18:52:36,2025-12-23 18:52:36
21532,STEELTECH 18938.xlsx,,STEELTECH,2024-04-22,"F,H",45,11:30:00,11:40:00,,,HDPE BLK,SCRAP,,,,,,,2025-12-23 18:52:36,2025-12-23 18:52:36
21533,STEELTECH 18938.xlsx,,STEELTECH,2024-04-22,"F,H",44,12:35:00,12:45:00,,,HDPE BLK,SCRAP,,,,,,,2025-12-23 18:52:36,2025-12-23 18:52:36
24817,IRON WORKS 3870.xlsx,,IRON WORKS,2024-04-23,"F,H",DET 47,02:20:00,03:30:00,,,HDPE,SCRAP,,,,,,,2025-12-23 18:52:47,2025-12-23 18:52:47
24818,IRON WORKS 3870.xlsx,,IRON WORKS,2024-04-23,"F,H",DET 46,,,,,,,,,,,,,2025-12-23 18:52:47,2025-12-23 18:52:47
22568,68409.xlsx,,68409,2024-04-26,"F,H",3628-80C,11:00:00,03:30:00,,,15# XLPE,3x48x98,,24,,,,,2025-12-23 18:52:39,2025-12-23 18:52:39
22873,NOVA 27842.xlsx,,NOVA,2024-04-26,"F,H",C82206,07:30:00,08:45:00,,,BLUE P-CORR,5MMx60x63,3,1,,,,,2025-12-23 18:52:40,2025-12-23 18:52:40
22573,68409.xlsx,,68409,2024-04-29,"F,H",3628-80C,11:30:00,03:00:00,,,15# XLPE,3x48x98,,24,,,,,2025-12-23 18:52:39,2025-12-23 18:52:39
22576,68409.xlsx,,68409,2024-04-30,"F,H",3628-82C,07:30:00,03:30:00,,,15# XLPE,3x48x98,,24,,,,,2025-12-23 18:52:39,2025-12-23 18:52:39
